Year,time series,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,protection of biodiversity and landscape (cofog 5.4),r,,,1.084
2011,protection of biodiversity and landscape (cofog 5.4),r,,,1.206
2012,protection of biodiversity and landscape (cofog 5.4),r,,,1.231
2013,protection of biodiversity and landscape (cofog 5.4),r,,,1.283
2014,protection of biodiversity and landscape (cofog 5.4),r,,,1.408
2015,protection of biodiversity and landscape (cofog 5.4),r,,,1.439
2016,protection of biodiversity and landscape (cofog 5.4),r,,,1.491
2017,protection of biodiversity and landscape (cofog 5.4),r,,,1.604
2018,protection of biodiversity and landscape (cofog 5.4),r,,,1.602
2019,protection of biodiversity and landscape (cofog 5.4),r,,,1.736
2020,protection of biodiversity and landscape (cofog 5.4),,,,1.715
2021,protection of biodiversity and landscape (cofog 5.4),p,,,1.843
2022,protection of biodiversity and landscape (cofog 5.4),p,,,1.955
2023,protection of biodiversity and landscape (cofog 5.4),p,,,2.376
2010,cultural services (cofog 8.2),r,,,9.804
2011,cultural services (cofog 8.2),r,,,10.427
2012,cultural services (cofog 8.2),r,,,10.417
2013,cultural services (cofog 8.2),r,,,10.838
2014,cultural services (cofog 8.2),r,,,11.458
2015,cultural services (cofog 8.2),r,,,11.58
2016,cultural services (cofog 8.2),r,,,11.82
2017,cultural services (cofog 8.2),r,,,12.407
2018,cultural services (cofog 8.2),r,,,12.791
2019,cultural services (cofog 8.2),r,,,13.688
2020,cultural services (cofog 8.2),,,,14.137
2021,cultural services (cofog 8.2),p,,,13.788
2022,cultural services (cofog 8.2),p,,,14.51
2023,cultural services (cofog 8.2),p,,,16.023
