Year,Units,Series,Value
2010,mn t,domestic material consumption (dmc),1263.0
2011,mn t,domestic material consumption (dmc),1363.0
2012,mn t,domestic material consumption (dmc),1318.0
2013,mn t,domestic material consumption (dmc),1311.0
2014,mn t,domestic material consumption (dmc),1348.0
2015,mn t,domestic material consumption (dmc),1268.0
2016,mn t,domestic material consumption (dmc),1280.0
2017,mn t,domestic material consumption (dmc),1326.0
2018,mn t,domestic material consumption (dmc),1279.0
2010,t per capita,domestic material consumption (dmc),15.4
2011,t per capita,domestic material consumption (dmc),17.0
2012,t per capita,domestic material consumption (dmc),16.4
2013,t per capita,domestic material consumption (dmc),16.3
2014,t per capita,domestic material consumption (dmc),16.6
2015,t per capita,domestic material consumption (dmc),15.5
2016,t per capita,domestic material consumption (dmc),15.5
2017,t per capita,domestic material consumption (dmc),16.0
2018,t per capita,domestic material consumption (dmc),15.4
2010,2015 = 100,domestic material consumption per real gdp,108.1
2011,2015 = 100,domestic material consumption per real gdp,112.3
2012,2015 = 100,domestic material consumption per real gdp,108.1
2013,2015 = 100,domestic material consumption per real gdp,107.0
2014,2015 = 100,domestic material consumption per real gdp,107.6
2015,2015 = 100,domestic material consumption per real gdp,100.0
2016,2015 = 100,domestic material consumption per real gdp,98.7
2017,2015 = 100,domestic material consumption per real gdp,99.6
2018,2015 = 100,domestic material consumption per real gdp,94.8
