Year,Units,timeseries,Value
2010,million eur,oda and oof (commitments) for aid for trade,4068.9
2011,million eur,oda and oof (commitments) for aid for trade,3586.7
2012,million eur,oda and oof (commitments) for aid for trade,3575.4
2013,million eur,oda and oof (commitments) for aid for trade,4500.8
2014,million eur,oda and oof (commitments) for aid for trade,6689.2
2015,million eur,oda and oof (commitments) for aid for trade,5840.4
2016,million eur,oda and oof (commitments) for aid for trade,5977.4
2017,million eur,oda and oof (commitments) for aid for trade,5869.9
2018,million eur,oda and oof (commitments) for aid for trade,6197.4
2019,million eur,oda and oof (commitments) for aid for trade,7124.6
2020,million eur,oda and oof (commitments) for aid for trade,7833.3
2021,million eur,oda and oof (commitments) for aid for trade,7039.9
2010,million eur,oda and oof (gross disbursement) for aid for trade,3186.3
2011,million eur,oda and oof (gross disbursement) for aid for trade,3118.5
2012,million eur,oda and oof (gross disbursement) for aid for trade,2891.2
2013,million eur,oda and oof (gross disbursement) for aid for trade,3476.8
2014,million eur,oda and oof (gross disbursement) for aid for trade,4238.5
2015,million eur,oda and oof (gross disbursement) for aid for trade,5301.2
2016,million eur,oda and oof (gross disbursement) for aid for trade,4706.2
2017,million eur,oda and oof (gross disbursement) for aid for trade,4850.6
2018,million eur,oda and oof (gross disbursement) for aid for trade,4988.4
2019,million eur,oda and oof (gross disbursement) for aid for trade,5450.6
2020,million eur,oda and oof (gross disbursement) for aid for trade,5960.6
2021,million eur,oda and oof (gross disbursement) for aid for trade,5779.6
2010,"million usd, constant prices (2021)",oda and oof (commitments) for aid for trade,5871.0
2011,"million usd, constant prices (2021)",oda and oof (commitments) for aid for trade,5119.9
2012,"million usd, constant prices (2021)",oda and oof (commitments) for aid for trade,5028.9
2013,"million usd, constant prices (2021)",oda and oof (commitments) for aid for trade,6208.6
2014,"million usd, constant prices (2021)",oda and oof (commitments) for aid for trade,9057.9
2015,"million usd, constant prices (2021)",oda and oof (commitments) for aid for trade,7764.4
2016,"million usd, constant prices (2021)",oda and oof (commitments) for aid for trade,7842.2
2017,"million usd, constant prices (2021)",oda and oof (commitments) for aid for trade,7586.9
2018,"million usd, constant prices (2021)",oda and oof (commitments) for aid for trade,7852.8
2019,"million usd, constant prices (2021)",oda and oof (commitments) for aid for trade,8839.8
2020,"million usd, constant prices (2021)",oda and oof (commitments) for aid for trade,9546.8
2021,"million usd, constant prices (2021)",oda and oof (commitments) for aid for trade,8325.3
2010,"million usd, constant prices (2021)",oda and oof (gross disbursement) for aid for trade,4597.5
2011,"million usd, constant prices (2021)",oda and oof (gross disbursement) for aid for trade,4451.5
2012,"million usd, constant prices (2021)",oda and oof (gross disbursement) for aid for trade,4066.6
2013,"million usd, constant prices (2021)",oda and oof (gross disbursement) for aid for trade,4796.1
2014,"million usd, constant prices (2021)",oda and oof (gross disbursement) for aid for trade,5739.4
2015,"million usd, constant prices (2021)",oda and oof (gross disbursement) for aid for trade,7047.6
2016,"million usd, constant prices (2021)",oda and oof (gross disbursement) for aid for trade,6174.4
2017,"million usd, constant prices (2021)",oda and oof (gross disbursement) for aid for trade,6269.3
2018,"million usd, constant prices (2021)",oda and oof (gross disbursement) for aid for trade,6320.8
2019,"million usd, constant prices (2021)",oda and oof (gross disbursement) for aid for trade,6762.8
2020,"million usd, constant prices (2021)",oda and oof (gross disbursement) for aid for trade,7264.3
2021,"million usd, constant prices (2021)",oda and oof (gross disbursement) for aid for trade,6834.9
